mesures1_s,mesures2_s,mesures1_pv,mesures2_pv,mesures1_p,mesures2_p,mesuresT
411,509,799,227,6.67,6.03,24.5
373,548,784,240,6.67,6.05,24.6
331,590,774,252,6.67,6.03,24.6
281,642,767,256,6.69,6.06,24.7
221,702,757,268,6.67,6.02,24.8
169,752,749,276,6.70,6.07,24.9
124,799,743,281,6.72,6.05,25.0
78,843,739,286,6.67,6.05,25.1
15,901,734,290,6.67,6.04,25.0
