;mesures1_s;mesures2_s;h3;h4;h5;h6;Temp
0;226;717;1176;1143;6.72;6.0;18.0
1;248;694;1187;1131;6.72;6.01;18.0
2;282;659;1211;1109;6.71;6.0;18.1
3;318;624;1233;1087;6.72;6.01;18.2
4;330;613;1248;1072;6.7;6.0;19.1
5;360;582;1267;1053;6.7;6.0;19.1
6;391;551;1296;1024;6.7;6.0;19.2
7;413;529;1334;988;6.69;6.0;19.3
8;437;504;1363;960;6.69;6.0;19.5
9;459;484;1410;913;6.69;5.99;19.6
10;470;470;1463;860;6.69;6.0;19.6
