;mesures1_s;mesures2_s;h3;h4;h5;h6;Temp
0;249;251;810;218;6.67;6.03;24.5
1;247;254;811;211;6.67;6.05;24.6
2;213;279;799;221;6.67;6.03;24.6
3;227;254;805;218;6.69;6.06;24.7
4;220;261;801;221;6.67;6.02;24.8
5;205;290;793;228;6.7;6.07;24.9
6;153;342;787;236;6.72;6.05;25.0
7;150;345;779;243;6.67;6.05;25.1
8;90;403;775;248;6.67;6.04;25.0
