mesures1_s,mesures2_s,mesures1_pv,mesures2_pv,mesures1_p,mesures2_p,mesuresT
249,251,810,218,6.67,6.03,24.9
247,254,811,211,6.67,6.05,25.0
213,279,799,221,6.67,6.03,24.6
227,254,805,218,6.69,6.06,24.7
220,261,801,221,6.67,6.02,24.8
205,290,793,228,6.70,6.07,24.9
153,342,787,236,6.72,6.05,25.0
150,345,779,243,6.67,6.05,25.1
90,403,775,248,6.67,6.04,25
