;p_vess;p_vess_err;p_vess_dim;p_vess_err_dim;mdot;mdot_err;mdot_p;mdot_p_err
0;4399.638157894748;377.09260317751017;0.9557046979865771;0.003796546476169382;0.008311418528041195;9.949466934300511e-05;0.009519505834343975;0.00010374956852782214
1;7466.052631578932;377.09260317751017;0.9248322147651008;0.003796546476169382;0.007935965547778092;9.85232442925125e-05;0.00945654444037393;0.00010423713774589477
2;13598.881578947388;377.09260317751017;0.8630872483221474;0.003796546476169382;0.0073153125271452945;9.788109363044919e-05;0.009448521037238089;0.00010414872454156573
3;19465.06578947368;377.09260317751017;0.804026845637584;0.003796546476169382;0.006605755366239879;9.900163142166445e-05;0.009453316093956186;0.00010420139726502383
4;23464.736842105252;377.09260317751017;0.7637583892617451;0.003796546476169382;0.00635667270289046;9.997237342749457e-05;0.009362767292523675;0.00010440127017444948
5;28530.986842105252;377.09260317751017;0.7127516778523492;0.003796546476169382;0.005637315329410962;0.0001048833380259636;0.009362767292523675;0.00010440127017444948
6;36263.68421052632;377.09260317751017;0.6348993288590604;0.003796546476169382;0.00478762789621413;0.00011590547580634695;0.009361174803325685;0.00010438343435403022
7;46129.53947368421;377.09260317751017;0.5355704697986577;0.003796546476169382;0.004073124828115753;0.00013140459818591593;0.009289509481061388;0.00010481107122679537
8;53728.91447368423;377.09260317751017;0.4590604026845636;0.003796546476169382;0.0030845750451717795;0.00016830530006995195;0.009286352504417943;0.00010477529440702247
9;66261.21710526316;377.09260317751017;0.33288590604026846;0.003796546476169382;0.0018625997773644984;0.0002717633936130746;0.009348459292552692;0.00010424143437913536
10;80393.38815789473;377.09260317751017;0.19060402684563765;0.003796546476169382;0.0;0.0;0.009284775229536815;0.00010475741940263733
