flowrate,pressure
0.008003889297317808,0.1036525172754195
0.006394641713730101,0.1865745310957552
0.005124183095108227,0.2527147087857848
0.004573651027038748,0.3060217176702863
0.004150164820831456,0.3593287265547878
0.003684329994003436,0.4027640671273445
0.003345541029037602,0.4452122408687069
0.00296440344345104,0.4807502467917079
0.002667963099105936,0.5143139190523198
0.002286825513519374,0.5429417571569596
0.002032733789794999,0.5676209279368213
0.001863339307312082,0.5903257650542941
0.001693944824829166,0.6110562685093781
0.001524550342346249,0.629812438302073
0.001397504480484062,0.646594274432379
0.001312807239242603,0.6623889437314906
0.001185761377380416,0.6771964461994077
0.001058715515518229,0.6900296150049359
0.0009740182742767703,0.7018756169792695
0.0009740182742767703,0.7127344521224087
0.000889321033035312,0.7245804540967424
0.0007199265505523954,0.7334649555774926
0.0006775779299316662,0.7413622902270484
0.0006352293093109372,0.7492596248766042
0.000592880688690208,0.7561697926949654
0.0005505320680694789,0.7630799605133267
0.0005081834474487498,0.7690029615004936
0.0004658348268280205,0.7749259624876604
0.0004234862062072915,0.7798617966436328
0.0003811375855865623,0.7847976307996052
0.000296440344345104,0.7887462981243831
