flowrate,pressure
0.01104927156654117,0.1036525172754195
0.008827724902368871,0.1865745310957552
0.007073872272759161,0.2527147087857848
0.006313869466594953,0.3060217176702863
0.005729251923391718,0.3593287265547878
0.005086172625868157,0.4027640671273445
0.004618478591305568,0.4452122408687069
0.004092322802422655,0.4807502467917079
0.00368309052218039,0.5143139190523198
0.003156934733297477,0.5429417571569596
0.002806164207375535,0.5676209279368213
0.00257231719009424,0.5903257650542941
0.002338470172812946,0.6110562685093781
0.002104623155531651,0.629812438302073
0.00192923789257068,0.646594274432379
0.001812314383930033,0.6623889437314906
0.001636929120969062,0.6771964461994077
0.001461543858008091,0.6900296150049359
0.001344620349367444,0.7018756169792695
0.001344620349367444,0.7127344521224087
0.001227696840726796,0.7245804540967424
0.0009938498234455019,0.7334649555774926
0.0009353880691251783,0.7413622902270484
0.0008769263148048547,0.7492596248766042
0.000818464560484531,0.7561697926949654
0.0007600028061642074,0.7630799605133267
0.0007015410518438838,0.7690029615004936
0.0006430792975235601,0.7749259624876604
0.0005846175432032365,0.7798617966436328
0.0005261557888829128,0.7847976307996052
0.0004092322802422655,0.7887462981243831
