;p;mu
0;0.0;0.18770864742379256
1;0.008819126114990418;0.19284735713401807
2;0.017638252229980837;0.19798606684424358
3;0.026457378344971257;0.20312477655446912
4;0.03527650445996167;0.20826348626469462
5;0.04409563057495209;0.21340219597492013
6;0.05291475668994251;0.21854090568514564
7;0.06173388280493293;0.22367961539537115
8;0.07055300891992335;0.22881832510559666
9;0.07937213503491376;0.23395703481582217
10;0.08819126114990418;0.23909574452604768
11;0.0970103872648946;0.2442344542362732
12;0.10582951337988503;0.24937316394649872
13;0.11464863949487544;0.25451187365672423
14;0.12346776560986586;0.25965058336694974
15;0.13228689172485628;0.26478929307717525
16;0.1411060178398467;0.26992800278740076
17;0.1499251439548371;0.27506671249762626
18;0.15874427006982753;0.2812727597864862
19;0.16756339618481794;0.28964179640367477
20;0.17638252229980836;0.29801083302086334
21;0.18520164841479878;0.30637986963805197
22;0.1940207745297892;0.31474890625524055
23;0.2028399006447796;0.3231179428724291
24;0.21165902675977005;0.3314869794896177
25;0.22047815287476047;0.33985601610680627
26;0.22929727898975089;0.34822505272399484
27;0.2381164051047413;0.35659408934118336
28;0.24693553121973172;0.36496312595837194
29;0.25575465733472214;0.3733321625755605
30;0.26457378344971255;0.3817011991927491
31;0.27339290956470297;0.39007023580993766
32;0.2822120356796934;0.39843927242712623
33;0.2910311617946838;0.40680830904431486
34;0.2998502879096742;0.41517734566150344
35;0.30866941402466463;0.423546382278692
36;0.31748854013965505;0.43191541889588053
37;0.32630766625464547;0.4402844555130691
38;0.3351267923696359;0.4486534921302577
39;0.3439459184846263;0.45702252874744625
40;0.3527650445996167;0.46539156536463483
41;0.36158417071460713;0.4737606019818234
42;0.37040329682959755;0.482129638599012
43;0.37922242294458797;0.49049867521620055
44;0.3880415490595784;0.4988677118333891
45;0.3968606751745688;0.5072367484505776
46;0.4056798012895592;0.5156057850677662
47;0.41449892740454963;0.5239748216849548
48;0.4233180535195401;0.5323438583021435
49;0.4321371796345305;0.540712894919332
50;0.44095630574952094;0.5490819315365206
51;0.44977543186451135;0.5574509681537092
52;0.45859455797950177;0.5658200047708977
53;0.4674136840944922;0.5741890413880864
54;0.4762328102094826;0.5825580780052748
55;0.485051936324473;0.5909271146224634
56;0.49387106243946344;0.5992961512396521
57;0.5026901885544538;0.6076651878568405
58;0.5115093146694443;0.6160342244740292
59;0.5203284407844346;0.6244032610912177
60;0.5291475668994251;0.6327722977084064
61;0.5379666930144155;0.6411413343255948
62;0.5467858191294059;0.6495103709427834
63;0.5556049452443963;0.657879407559972
64;0.5644240713593868;0.6662484441771606
65;0.5732431974743772;0.6746174807943491
66;0.5820623235893676;0.6829865174115378
67;0.5908814497043581;0.6913555540287263
68;0.5997005758193484;0.699724590645915
69;0.6085197019343389;0.7080936272631034
70;0.6173388280493293;0.7164626638802921
71;0.6261579541643197;0.7248317004974807
72;0.6349770802793101;0.7332007371146692
73;0.6437962063943006;0.7415697737318578
74;0.6526153325092909;0.7499388103490463
75;0.6614344586242814;0.758307846966235
76;0.6702535847392718;0.7666768835834235
77;0.6790727108542622;0.7750459202006121
78;0.6878918369692526;0.7834149568178006
79;0.6967109630842431;0.7917839934349893
80;0.7055300891992334;0.8001530300521777
81;0.7143492153142239;0.8085220666693664
82;0.7231683414292143;0.8168911032865549
83;0.7319874675442047;0.8252601399037435
84;0.7408065936591951;0.833629176520932
85;0.7496257197741856;0.8419982131381206
86;0.7584448458891759;0.8503672497553092
87;0.7672639720041664;0.8587362863724978
88;0.7760830981191568;0.8671053229896863
89;0.7849022242341472;0.8754743596068749
90;0.7937213503491376;0.8838433962240634
91;0.8025404764641281;0.8922124328412521
92;0.8113596025791184;0.9005814694584405
93;0.8201787286941089;0.9089505060756292
94;0.8289978548090993;0.9173195426928177
95;0.8378169809240897;0.9256885793100064
96;0.8466361070390802;0.9340576159271949
97;0.8554552331540706;0.9424266525443835
98;0.864274359269061;0.9507956891615721
99;0.8730934853840514;0.9591647257787607
