Time;Pressure
0.00000000000000;101.300
5.00000000000000;90.800
10.00000000000000;82.400
15.00000000000000;75.700
20.00000000000000;70.300
25.00000000000000;64.900
30.00000000000000;60.500
35.00000000000000;56.200
40.00000000000000;52.600
45.00000000000000;49.200
50.00000000000000;46.300
55.00000000000000;43.800
60.00000000000000;41.500
65.00000000000000;39.400
70.00000000000000;37.500
75.00000000000000;35.800
80.00000000000000;34.200
85.00000000000000;32.700
90.00000000000000;31.400
95.00000000000000;30.200
100.00000000000000;29.100
105.00000000000000;27.900
110.00000000000000;27.000
115.00000000000000;26.200
120.00000000000000;25.400
125.00000000000000;24.700
130.00000000000000;24.000
135.00000000000000;23.400
140.00000000000000;22.800
145.00000000000000;22.300
150.00000000000000;21.800
155.00000000000000;21.400
160.00000000000000;21.100
