;Unnamed: 0;p_vess;p_vess_err;p_vess_dim;p_vess_err_dim;mdot;mdot_err;mdot_p;mdot_p_err;mu
0;10;80393.38815789473;377.0926031775102;0.19060402684563765;0.003796546476169382;0.0;0.0;0.009284775229536815;0.00010475741940263732;0.0
1;1;79993.42105263157;377.0926031775102;0.1946308724832216;0.003796546476169382;0.00020396746062343303;0.000110960454188686;0.00873756993680705;0.00010779430724204267;0.023343728530769093
2;0;78926.84210526316;377.0926031775102;0.20536912751677866;0.003796546476169382;0.00010266423517610514;0.00020321165943448636;0.00887246024276042;0.00010655926176659058;0.011571112449883913
3;3;78260.2302631579;377.0926031775102;0.21208053691275167;0.003796546476169382;0.00041747120972581326;5.7885726883499e-05;0.00881504194507282;0.00010728501524994504;0.04735895896209086
4;4;77326.97368421053;377.0926031775102;0.22147651006711405;0.003796546476169382;0.0005192290757066318;4.77280732207747e-05;0.008933810379016716;0.00010590868749985722;0.058119554107189345
5;2;77060.32894736843;377.0926031775102;0.22416107382550327;0.003796546476169382;0.0006645840564352663;3.905371941046125e-05;0.008870978904011699;0.00010654138926320451;0.07491665391456666
6;0;76260.3947368421;377.0926031775102;0.2322147651006712;0.003796546476169382;0.0009179502905562088;3.8373214734209296e-05;0.00887246024276042;0.00010655926176659058;0.10346062596394504
7;5;75327.13815789473;377.0926031775102;0.2416107382550336;0.003796546476169382;0.0007571387217660832;3.56816883952709e-05;0.008818061009256332;0.00010732153677903448;0.0858622684705077
8;6;73460.625;377.0926031775102;0.2604026845637584;0.003796546476169382;0.001138440464507406;3.1104369673307406e-05;0.009091422341220262;0.00010508976185514815;0.12522138140538777
9;1;72527.36842105264;377.0926031775102;0.2697986577181207;0.003796546476169382;0.0012320773629963815;3.489964336497519e-05;0.00873756993680705;0.00010779430724204267;0.14100915608197315
10;7;71460.78947368421;377.0926031775102;0.28053691275167786;0.003796546476169382;0.0011565833688081425;3.112376201615042e-05;0.008730286163853516;0.00010770403377844686;0.13247943390410366
11;8;70260.88815789473;377.0926031775102;0.2926174496644296;0.003796546476169382;0.0014669964474875144;3.3242899225386465e-05;0.008798702348308417;0.00010708602282911368;0.16672872764806618
12;2;69594.27631578947;377.0926031775102;0.2993288590604028;0.003796546476169382;0.0014995723966349725;3.584135292353273e-05;0.008870978904011699;0.00010654138926320451;0.16904249382859257
13;3;68127.7302631579;377.0926031775102;0.31409395973154364;0.003796546476169382;0.0017672647431354427;3.864432804427295e-05;0.00881504194507282;0.00010728501524994504;0.20048285126121923
14;9;66261.21710526316;377.0926031775102;0.3328859060402685;0.003796546476169382;0.0018625997773644984;0.0002717633936130746;0.009348459292552692;0.00010424143437913537;0.19924136363821043
15;4;65194.638157894726;377.0926031775102;0.34362416107382554;0.003796546476169382;0.0020325231037495485;4.2414655250867546e-05;0.008933810379016716;0.00010590868749985722;0.2275090938266875
16;5;63061.4802631579;377.0926031775102;0.3651006711409396;0.003796546476169382;0.0022290625659665735;4.557549716252431e-05;0.008818061009256332;0.00010732153677903448;0.25278375411858944
17;6;61594.93421052633;377.0926031775102;0.3798657718120805;0.003796546476169382;0.002389232206303814;4.829877503797871e-05;0.009091422341220262;0.00010508976185514815;0.26280070561358704
18;7;60395.03289473683;377.0926031775102;0.39194630872483227;0.003796546476169382;0.0025332308699555764;5.082742698095146e-05;0.008730286163853516;0.00010770403377844686;0.29016584593115075
19;8;59195.131578947374;377.0926031775102;0.404026845637584;0.003796546476169382;0.0027104886877099784;5.401678163683621e-05;0.008798702348308417;0.00010708602282911368;0.30805550414273075
20;8;53728.91447368423;377.0926031775102;0.4590604026845636;0.003796546476169382;0.0030845750451717795;0.00016830530006995195;0.009286352504417944;0.00010477529440702248;0.3321621749448242
21;7;46129.539473684206;377.0926031775102;0.5355704697986577;0.003796546476169382;0.004073124828115753;0.00013140459818591593;0.009289509481061388;0.00010481107122679536;0.4384650057594184
22;6;36263.68421052632;377.0926031775102;0.6348993288590604;0.003796546476169382;0.00478762789621413;0.00011590547580634695;0.009361174803325684;0.00010438343435403022;0.5114345150902706
23;5;28530.98684210525;377.0926031775102;0.7127516778523492;0.003796546476169382;0.0056373153294109616;0.0001048833380259636;0.009362767292523676;0.00010440127017444947;0.6020992675864593
24;4;23464.73684210525;377.0926031775102;0.7637583892617451;0.003796546476169382;0.00635667270289046;9.997237342749456e-05;0.009362767292523676;0.00010440127017444947;0.6789309724664809
25;3;19465.065789473683;377.0926031775102;0.8040268456375842;0.003796546476169382;0.006605755366239879;9.900163142166444e-05;0.009453316093956186;0.00010420139726502384;0.6987765246169176
26;2;13598.881578947388;377.0926031775102;0.8630872483221474;0.003796546476169382;0.007315312527145294;9.78810936304492e-05;0.009448521037238087;0.00010414872454156572;0.7742283155548378
27;1;7466.052631578932;377.0926031775102;0.9248322147651008;0.003796546476169382;0.007935965547778092;9.85232442925125e-05;0.009456544440373929;0.00010423713774589477;0.8392035375941499
28;0;4399.638157894748;377.0926031775102;0.9557046979865772;0.003796546476169382;0.008311418528041195;9.949466934300511e-05;0.009519505834343977;0.00010374956852782215;0.8730934853840514
